name,price,rating,address,img-src
Best Western Plus South Bay Hotel LAX,140,7.7,"15000 Hawthorne Boulevard Lawndale, California,, LAX ? Los Angeles International Airport, Los Angeles (CA), United States, 90260",//pix8.agoda.net/hotelImages/108625/0/fb27c202359803099fd15beb43465e0c.jpg?ca=7&ce=1&s=1024x768
JW Marriott Santa Monica Le Merigot,431,8.3,"1740 Ocean Avenue, Santa Monica, Los Angeles (CA), United States, 90401",//pix8.agoda.net/hotelImages/471/47167/47167_08091300010012091.jpg?ca=0&ce=1&s=1024x768
Andaz West Hollywood,272,9,"8401 Sunset Boulevard, West Hollywood, Los Angeles (CA), United States, 90069",//pix8.agoda.net/hotelImages/2450480/0/a6868916137b7e801e70b6b040f1a36a.jpg?ca=7&ce=1&s=1024x768
Alhambra Hotel,92,8.4,"2221 W Commonwealth Ave, East Los Angeles, Los Angeles (CA), United States, 91803",//pix8.agoda.net/hotelImages/1030535/0/f6455e3b5d5d451cb550b5ca78083716.jpg?ca=7&ce=1&s=1024x768
Hollywood Celebrity Hotel,162,8.8,"1775 Orchid Avenue, Hollywood, Los Angeles (CA), United States, 90028",//pix8.agoda.net/hotelImages/64646/-1/c851c3dc035ecdadfddfc7ea7c8e7f5a.jpg?ca=12&ce=1&s=1024x768
Marina del Rey Hotel,287,8.4,"13534 Bali Way, Marina Del Rey, Los Angeles (CA), United States, 90292",//pix8.agoda.net/hotelImages/6770899/0/b862f6362bc649109cdbb070de8ebf6a.jpg?ca=8&ce=1&s=1024x768
Tommie Hollywood,228,8.4,"6516 W Selma Ave, Hollywood, Los Angeles (CA), United States, 90028",//q-xx.bstatic.com/xdata/images/hotel/840x460/336141402.jpg?k=429725802a61546f0e7da106f351ad5fe81c4f26522b0c9c75a07821358fdb31&o=
The London West Hollywood at Beverly Hills,459,8.9,"1020 N. San Vicente Blvd, West Hollywood, Los Angeles (CA), United States, 90069",//pix8.agoda.net/hotelImages/5213114/0/24f94218136a31dec23b0e9dab9e4cb2.jpg?ca=9&ce=1&s=1024x768
Peacock Suites,199,8.6,"1745 South Anaheim Blvd., Anaheim, Los Angeles (CA), United States, 92805",//pix8.agoda.net/hotelImages/4890910/0/a074d346f561086af2c168ec05f61300.jpg?ca=23&ce=0&s=1024x768
1 Hotel West Hollywood,499,8.7,"8490 West Sunset blvd, West Hollywood, Los Angeles (CA), United States, 90069",//pix8.agoda.net/hotelImages/7544322/0/212e8eb0d735277e879c3c00f46d79aa.jpg?ca=22&ce=0&s=1024x768
Courtyard by Marriott Los Angeles Monterey Park,208,8.7,"555 North Atlantic Boulevard, East Los Angeles, Los Angeles (CA), United States, 91754",//pix8.agoda.net/hotelImages/8250435/0/2d811b307a745ffbc35a38994358b4d0.jpg?ca=26&ce=0&s=1024x768
Thompson Hollywood,293,8.4,"1541 Wilcox Ave, Hollywood, Los Angeles (CA), United States, 90028-7308",//pix8.agoda.net/hotelImages/28880289/0/487814f243dcbc66f31a6d57dad95336.jpg?ca=24&ce=0&s=1024x768
Howard Johnson by Wyndham Anaheim Hotel & Water Playground,168,8.8,"1380 South Harbor Blvd, Anaheim, Los Angeles (CA), United States, 92802-2310",//pix8.agoda.net/hotelImages/2308145/0/d92ecb12a1c356851b63dfdfba614a2a.jpg?ca=9&ce=1&s=1024x768
LEXEN HOTEL - NORTH HOLLYWOOD NEAR UNIVERSAL STUDIOS,229,9.8,"5268 TUJUNGA AVENUE, Burbank, Los Angeles (CA), United States, 91601",//q-xx.bstatic.com/xdata/images/hotel/840x460/231872126.jpg?k=242c0ff4b0511f7df8f9954fcc136f324a3a0db7c74e7aa2f6ce8e6b24cbb393&o=
Wyndham Santa Monica At The Pier Hotel,283,7.6,"120 Colorado Avenue, Santa Monica, Los Angeles (CA), United States, 90401",//pix8.agoda.net/hotelImages/73393/0/dd5f064c10419db54a6ede00fda19c77.jpg?ca=7&ce=1&s=1024x768
JW Marriott Los Angeles L.A. LIVE,599,8.8,"900 West Olympic Boulevard, Downtown Los Angeles, Los Angeles (CA), United States, 90015",//pix8.agoda.net/hotelImages/4892030/0/27b4eefda6b5673963f955dcc96e0453.jpg?ca=26&ce=0&s=1024x768
Maison 140,209,7.4,"140 South Lasky Drive, Beverly Hills, California, Beverly Hills, Los Angeles (CA), United States, 90212",//pix8.agoda.net/hotelImages/46427/-1/a2090958f9355d58adc813020e7f62da.jpg?ca=18&ce=1&s=1024x768
Delta Hotels by Marriott Anaheim Garden Grove,209,8.3,"12021 Harbor Boulevard, Anaheim, Los Angeles (CA), United States, 92840",//pix8.agoda.net/hotelImages/6501176/0/12b02f826e905cece214d64a14958200.jpg?ca=23&ce=0&s=1024x768
