name,price,rating,address,img-src
The Dana on Mission Bay,246,8.1,"1710 W Mission Bay Dr., Misson Bay / Loma Heights, San Diego (CA), United States, 92109",//pix8.agoda.net/hotelImages/6796158/0/eb24c7079a18b6bc0d0f30aa031089f7.jpg?ca=8&ce=1&s=1024x768
Andaz San Diego - a concept by Hyatt,399,8.6,"600 F Street, San Diego City Center, San Diego (CA), United States, 92101",//pix8.agoda.net/hotelImages/193/193636/193636_16101817470047876999.jpg?ca=6&ce=1&s=1024x768
Courtyard San Diego Downtown,314,8.6,"530 Broadway, San Diego City Center, San Diego (CA), United States, 92101",//pix8.agoda.net/hotelImages/4874892/0/c0a574a2aefe1185a6e7debf512770df.jpg?ca=23&ce=0&s=1024x768
"THE US GRANT, a Luxury Collection Hotel, San Diego",602,8.4,"326 Broadway, San Diego City Center, San Diego (CA), United States, 92101",//pix8.agoda.net/hotelImages/6501182/0/f40c42c055442b99d5b26134d07f7bc6.jpg?ca=27&ce=0&s=1024x768
The Westgate Hotel,429,8.3,"1055 2nd Avenue, San Diego City Center, San Diego (CA), United States, 92101",//pix8.agoda.net/hotelImages/2454639/0/43c7a242cab877188c57d7ad6769eaea.jpg?ca=0&ce=1&s=1024x768
Residence Inn San Diego Downtown/Gaslamp Quarter,949,9,"356 6th Avenue, San Diego City Center, San Diego (CA), United States, 92101",//pix8.agoda.net/hotelImages/4894635/0/36a20a272e7241123a7ca54213e2a118.jpg?ca=23&ce=0&s=1024x768
Best Western Mission Bay,129,7.9,"2575 Clairemont Drive, Bay Park, San Diego (CA), United States, 92117",//pix8.agoda.net/hotelImages/3583188/0/eb06717404056a719fc161816cf4cd25.jpg?ca=9&ce=1&s=1024x768
"Kona Kai Resort & Spa, a Noble House Resort",429,8.5,"1551 Shelter Island Drive, San Diego Intl. Airport, San Diego (CA), United States, 92106",//pix8.agoda.net/hotelImages/4459929/0/0259c2ec2e251dcaeee7e259de376996.jpg?ca=9&ce=1&s=1024x768
Embassy Suites San Diego La Jolla Hotel,220,8.7,"4550 La Jolla Village Drive, La Jolla, San Diego (CA), United States, 92122",//pix8.agoda.net/hotelImages/798/79816/79816_16061815180043767255.jpg?ca=6&ce=1&s=1024x768
Homewood Suites by Hilton San Diego-Del Mar - CA Hotel,248,8.6,"11025 Vista Sorrento Parkway, Del Mar / Carmel Valley, San Diego (CA), United States, 92130",//pix8.agoda.net/hotelImages/79286/0/8768c46a24d55e6917d14b0cb5ae9541.jpg?ca=7&ce=1&s=1024x768
Wyndham San Diego Bayside,288,8,"1355 North Harbor Dr., San Diego City Center, San Diego (CA), United States, 92101",//pix8.agoda.net/hotelImages/2293368/0/b2bc435523f364c4cdff0fc6b611b5c1.jpg?ca=9&ce=1&s=1024x768
Hotel Indigo San Diego - Gaslamp Quarter,409,8.6,"509 9th Avenue, San Diego City Center, San Diego (CA), United States, 92101",//pix8.agoda.net/hotelImages/4892804/0/108c55ac1d79600c198a8bb7aae99994.jpg?ca=28&ce=0&s=1024x768
Best Western Plus Bayside Inn,178,8.8,"555 W Ash Street, San Diego City Center, San Diego (CA), United States, 92101-3414",//pix8.agoda.net/hotelImages/2295262/0/d07a2b4b141fe3ec537530cafc70abd9.jpg?ca=10&ce=1&s=1024x768
"Country Inn & Suites by Radisson, San Diego North",238,8.4,"5975 Lusk Boulevard, Sorrento Valley / Mira Mesa, San Diego (CA), United States, 92121",//pix8.agoda.net/hotelImages/23223886/0/713474e952ac785763af998cd3397f5a.jpg?ca=18&ce=1&s=1024x768
Doubletree San Diego Mission Valley Hotel,255,8.3,"7450 Hazard Center Drive, Mission Valley East, San Diego (CA), United States, 92108",//pix8.agoda.net/hotelImages/63097/0/fc70034c69c3c395074f524ed9b36feb.jpg?ca=7&ce=1&s=1024x768
Courtyard San Diego Gaslamp/Convention Center,902,9.1,"453 6th Avenue, San Diego City Center, San Diego (CA), United States, 92101",//pix8.agoda.net/hotelImages/5149752/0/07bf9b1a9318d9019ebe68caa5393a6b.jpg?ca=23&ce=0&s=1024x768
