name,price,rating,address,img-src
Ramada by Wyndham Sunnyvale Silicon Valley,143,7.7,"1217 Wildwood Avenue, Santa Clara, San Jose (CA), United States, 94089",//pix8.agoda.net/hotelImages/4862216/0/cba6beae7c3dfc1da847a8aa0050de8f.jpg?ca=9&ce=1&s=1024x768
AC Hotel by Marriott Palo Alto,269,9,"744 San Antonio Road, Mountain View, San Jose (CA), United States, 94303",//pix8.agoda.net/hotelImages/23040895/0/9e97ce02792171b80d1f5b17d0ae8fa4.jpg?ca=23&ce=0&s=1024x768
Residence Inn by Marriott San Jose North/Silicon Valley,328,9.1,"656 America Center Court, Santa Clara, San Jose (CA), United States, 95002",//pix8.agoda.net/hotelImages/7130585/0/9502b0c6541f4e7ef1efb238a15a6233.jpg?ca=23&ce=0&s=1024x768
Hyatt Regency Santa Clara,220,8.6,"5101 Great America Parkway, Santa Clara, San Jose (CA), United States, 95054",//pix8.agoda.net/hotelImages/2459014/0/e77c96f1b292e53c987a5c6be13cee27.jpg?ca=7&ce=1&s=1024x768
Sonesta ES Suites Sunnyvale,269,8.6,"900 Hamlin Court, Sunnyvale, San Jose (CA), United States, 94089",//pix8.agoda.net/hotelImages/5082350/0/93720b9fbd4035e07e0a739d28cb990d.jpg?ca=10&ce=1&s=1024x768
Residence Inn San Jose Cupertino,247,9.8,"19429 Stevens Creek Boulevard, Cupertino, San Jose (CA), United States, 95014",//pix8.agoda.net/hotelImages/5251743/0/25fd47506a3e3aa52d18bcd544351fe0.jpg?ca=23&ce=0&s=1024x768
The Westin Palo Alto,512,8.8,"675 EL CAMINO REAL, Palo Alto, San Jose (CA), United States",//pix8.agoda.net/hotelImages/4869766/0/9d2efc3acfe6d39200f08c96eeddbdeb.jpg?ca=23&ce=0&s=1024x768
Best Western Lanai Garden Inn and Suites,126,8.1,"1575 Tully Road, San Jose City Center, San Jose (CA), United States, 95122-2459",//pix8.agoda.net/hotelImages/92242/0/60ce37d4ebad0abb0b2c4504aa965a36.jpg?ca=7&ce=1&s=1024x768
Quality Inn & Suites Silicon Valley,90,7,"2930 El Camino Real, Santa Clara, San Jose (CA), United States, 95051",//pix8.agoda.net/hotelImages/64839/0/eb1dfbe2e98bc8b34d0fe78c12137e56.jpg?ca=0&ce=1&s=1024x768
"Country Inn & Suites by Radisson, San Jose International Airport, CA",122,8.4,"1350 N 4th St, San Jose City Center, San Jose (CA), United States, 95112",//pix8.agoda.net/hotelImages/23259426/0/824856e9fe067ad5c4d679659d63c3c0.jpg?ca=18&ce=1&s=1024x768
