name,price,rating,address,img-src
Holiday Inn Express Hotel & Suites Santa Cruz,184,8.1,"1410 Ocean Street, Santa Cruz City Center, Santa Cruz (CA), United States, 95060",//pix8.agoda.net/hotelImages/5443191/0/ff6090fed983e630f11e77628833a9cd.jpg?ca=23&ce=0&s=1024x768
Bay Front Inn - Downtown Santa Cruz,485,6.7,"325 Pacific Avenue, Santa Cruz City Center, Santa Cruz (CA), United States, 95060",//pix8.agoda.net/hotelImages/923/92311/92311_14021909020018383993.jpg?ca=2&ce=1&s=1024x768
Hilton Santa Cruz/Scotts Valley,243,8.7,"6001 La Madrona Drive, Scotts Valley, Scotts Valley (CA), United States, 95066",//pix8.agoda.net/hotelImages/80365/-1/0a951f3f35ff5bb4361f16137ed9356c.jpg?ca=8&ce=1&s=1024x768
Quality Inn Santa Cruz,222,7.9,"1101 Ocean Street, Santa Cruz City Center, Santa Cruz (CA), United States, 95060",//pix8.agoda.net/hotelImages/92827/0/53fdbdaa60145a667d16b3071997077f.jpg?ca=0&ce=1&s=1024x768
Budget Inn Santa Cruz,119,8.1,"110 San Lorenzo Boulevard, Santa Cruz City Center, Santa Cruz (CA), United States, CA 95060",//pix8.agoda.net/hotelImages/283/283341/283341_1208181055007226381.jpg?ca=0&ce=1&s=1024x768
Ocean Echo Inn & Beach Cottages,369,8.8,"401 Johans Beach Drive, Twin Lakes, Santa Cruz (CA), United States, CA 95062",//q-xx.bstatic.com/xdata/images/hotel/840x460/17846626.jpg?k=16a74e75d6cf87d6fa818af54ec4738b771e5c9766488ff8d61e48a24e4e559a&o=
Hampton Inn Santa Cruz West,248,8.5,"2424 Mission Street, Santa Cruz City Center, Santa Cruz (CA), United States, 95060",//pix8.agoda.net/hotelImages/345/345356/345356_1212092346009244626.jpg?ca=0&ce=1&s=1024x768
Best Western Inn,259,7.8,"126 Plymouth Street, Santa Cruz City Center, Santa Cruz (CA), United States, 95060-2932",//pix8.agoda.net/hotelImages/2293505/0/107558322105c25df05d8690acdf9b18.jpg?ca=9&ce=1&s=1024x768
Pacific Blue Inn,259,8.8,"636 Pacific Avenue, Santa Cruz City Center, Santa Cruz (CA), United States, CA 95060",//pix8.agoda.net/hotelImages/340/340923/340923_1209170958007576629.jpg?ca=0&ce=1&s=1024x768
Ocean Gate Inn,130,6.9,"111 Ocean Street, Santa Cruz City Center, Santa Cruz (CA), United States, 95060",//pix8.agoda.net/hotelImages/5079344/0/84b3d3c3edd271f008b9027d84b593d8.jpg?ca=9&ce=1&s=1024x768
Beachview Inn,155,8.9,"50 Front Street, Santa Cruz City Center, Santa Cruz (CA), United States, CA 95060",//pix8.agoda.net/hotelImages/201/201939/201939_1209170431007569585.jpg?ca=0&ce=1&s=1024x768
Motel Santa Cruz Santa Cruz,119,5.3,"370 Ocean Street, Santa Cruz City Center, Santa Cruz (CA), United States, 95060",//pix8.agoda.net/hotelImages/7521659/0/ee9e0dc0a76354688a360a62d5716a01.jpg?ca=8&ce=1&s=1024x768
Comfort Inn Beach/Boardwalk Area,217,7.7,"314 Riverside Ave., Santa Cruz City Center, Santa Cruz (CA), United States, 95060",//pix8.agoda.net/hotelImages/92847/0/9ba944b7b34ba01cda9820c38ddf2739.jpg?ca=0&ce=1&s=1024x768
Hyatt Place Santa Cruz,299,9,"407 BROADWAY AVENUE, Santa Cruz City Center, Santa Cruz (CA), United States, 95060",//pix8.agoda.net/hotelImages/4454075/0/37a280b1db71713b36f85c0620798835.jpg?ca=7&ce=1&s=1024x768
Fairfield Inn & Suites Santa Cruz - Capitola,299,9,"1255 41st Avenue, Capitola, Capitola (CA), United States, 95010",//pix8.agoda.net/hotelImages/4889828/0/2bbe84099c6c88a45afd2d6353bebcff.jpg?ca=23&ce=0&s=1024x768
Fern River Resort,167,8.9,"5250 Highway 9, Felton, Felton (CA), United States, CA 95018",//q-xx.bstatic.com/xdata/images/hotel/840x460/249764136.jpg?k=d23189877ce94e1d562917eb8d08200f61251e1cce592c70347bc04575e145d2&o=
Comfort Inn Santa Cruz,229,8,"110 Plymouth St., Santa Cruz City Center, Santa Cruz (CA), United States, 95060",//pix8.agoda.net/hotelImages/4874012/0/766b54c44c3b8b5a2d8e2c784375d5e4.jpg?ca=9&ce=1&s=1024x768
Fairfield Inn & Suites Santa Cruz,218,9.1,"2956 Mission Street, Santa Cruz City Center, Santa Cruz (CA), United States, 95060",//pix8.agoda.net/hotelImages/5486159/0/298be0e60008e9f56096ccf57870cca1.jpg?ca=23&ce=0&s=1024x768
Super 8 By Wyndham Santa Cruz/Beach Boardwalk East,407,7.7,"338 Riverside Ave., Santa Cruz City Center, Santa Cruz (CA), United States, 95060",//pix8.agoda.net/hotelImages/4865544/0/79372287471f0d2a06b5aecacce19347.jpg?ca=9&ce=1&s=1024x768
Chaminade Resort & Spa,439,7.9,"One Chaminade Lane, Live Oak, Santa Cruz (CA), United States, 95065",//pix8.agoda.net/hotelImages/246/2464881/2464881_17100307100057006064.jpg?ca=6&ce=1&s=1024x768
Fireside Inn By The Beach Boardwalk & Bowling,185,7.2,"311 2nd Street, Santa Cruz City Center, Santa Cruz (CA), United States, CA 95060",//pix8.agoda.net/hotelImages/208/208759/208759_1112130700005016134.jpg?ca=0&ce=1&s=1024x768
Best Western Plus Capitola By-the-Sea Inn and Suites,299,8.9,"1435 41st Ave, Capitola, Capitola (CA), United States, 95010",//pix8.agoda.net/hotelImages/3549065/0/e28f0298fb4f296781d69e8731d994d2.jpg?ca=9&ce=1&s=1024x768
Rio Vista Inn & Suites Santa Cruz,179,8.8,"611 Third Street, Santa Cruz City Center, Santa Cruz (CA), United States, CA 95060",//q-xx.bstatic.com/xdata/images/hotel/840x460/37791903.jpg?k=523b6ef2630cbfa6b009632f6920e4e0daf57a08b27782b82637f02efe32994f&o=
"Hotel Paradox, Autograph Collection",314,9,"611 Ocean Street, Santa Cruz City Center, Santa Cruz (CA), United States, 95060",//pix8.agoda.net/hotelImages/5485980/0/2092a5aa51c04022970ff063f0d266e9.jpg?ca=23&ce=0&s=1024x768
Mission Inn,189,8.5,"2250 Mission Street, Santa Cruz City Center, Santa Cruz (CA), United States, CA 95060",//pix8.agoda.net/hotelImages/413/413106/413106_13041107370011775743.jpg?ca=0&ce=1&s=1024x768
Inn at Depot Hill,340,10,"250 Monterey Avenue, Capitola, Capitola (CA), United States, 95010",//pix8.agoda.net/hotelImages/4866133/0/e321709644cef1ef6ffec8302b9f4a75.jpg?ca=9&ce=1&s=1024x768
The Inn at Pasatiempo,239,8.4,"555 Highway 17, Pasatiempo, Santa Cruz (CA), United States, CA 95060",//pix8.agoda.net/hotelImages/924/92496/92496_1208200748007260207.jpg?ca=0&ce=1&s=1024x768
Howard Johnson by Wyndham Santa Cruz Beach Boardwalk,136,7.3,"130 West Cliff Drive, Santa Cruz City Center, Santa Cruz (CA), United States, 95060",//pix8.agoda.net/hotelImages/5082794/0/8b2ebf56889cabee1dc719385c60869e.jpg?ca=9&ce=1&s=1024x768
Capitola Venetian Hotel,340,8.5,"1500 Wharf Road, Capitola, Capitola (CA), United States, CA 95010",//q-xx.bstatic.com/xdata/images/hotel/840x460/89053925.jpg?k=469f1e6ce807254986bc61d9466203365f3600549227fcfba27346ff6abd8ec9&o=
Hampton Inn Santa Cruz,229,8.2,"1505 Ocean Street, Santa Cruz City Center, Santa Cruz (CA), United States, 95060",//pix8.agoda.net/hotelImages/4125730/0/9dc6a283fd26264e38e30c5aa4f47248.jpg?ca=0&ce=1&s=1024x768
The Islander Motel,135,8.1,"522 Ocean Street, Santa Cruz City Center, Santa Cruz (CA), United States, CA 95060",//pix8.agoda.net/hotelImages/177/177148/177148_1112120718004967414.jpg?ca=0&ce=1&s=1024x768
Continental Inn,159,7.7,"414 Ocean Street , Santa Cruz City Center, Santa Cruz (CA), United States, CA 95060",//q-xx.bstatic.com/xdata/images/hotel/840x460/33284448.jpg?k=7e758222a2d2e6fb58f5af98361a363a9f30dd02db0a16e2f86397fcca1f44a9&o=
Best Western PLUS All Suites Inn,229,7.7,"500 Ocean Street, Santa Cruz City Center, Santa Cruz (CA), United States, 95060-6602",//pix8.agoda.net/hotelImages/92232/0/9b2203f12887dd2aff945f39d0cc1120.jpg?ca=7&ce=1&s=1024x768
La Quinta Inn & Suites by Wyndham Santa Cruz,331,6.8,"550 2nd Street, Santa Cruz City Center, Santa Cruz (CA), United States, 95060",//pix8.agoda.net/hotelImages/30542225/-1/92b1a76232706f6f5b403d0463e38815.png?ca=26&ce=0&s=1024x768
